"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Duterte off to a very good’ start -- SWS: PRESIDENT Rodrigo R. Duterte ended his first three months in offic... https://t.co/DPWRlNbfQ2",FALSE,0,NA,2016-10-05 16:46:28,FALSE,NA,"783709956117704704",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","dlPhilippines",0,FALSE,FALSE,NA,NA
"2","WORLD UPDATE!: Robredo to Duterte: Be careful with your words: Vice President Leni Robredo has ... https://t.co/A27HfZtA0u (fromgmanews)",FALSE,0,NA,2016-10-05 16:43:37,FALSE,NA,"783709238971334657",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BroadcastPH",0,FALSE,FALSE,NA,NA
"3","Philippines leader tells Obama to go to hell | https://t.co/loPAAmYI9f #PartnerForChange",FALSE,0,NA,2016-10-05 16:43:27,FALSE,NA,"783709196587978752",NA,"<a href=""http://www.duterte24x7.com"" rel=""nofollow"">Duterte24x7</a>","Duterte24x7",0,FALSE,FALSE,NA,NA
"4","Filipijnse president Duterte schoffeert Obama opnieuw https://t.co/IdBx6G9Q9h #MvDnl",FALSE,0,NA,2016-10-05 16:42:43,FALSE,NA,"783709012776853504",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","MrvanDalenNL",0,FALSE,FALSE,NA,NA
"5","RT @nytimes: President of the Philippines: ""You can go to hell, Mr. Obama, you can go to hell"" https://t.co/hif4zbI6Yc",FALSE,0,NA,2016-10-05 16:42:42,FALSE,NA,"783709005864701952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cjallenii",184,TRUE,FALSE,NA,NA
"6","Philippine President Rodrigo Duterte hostilities threaten one of Barack Obama’s crucial Asian alliances https://t.co/Rp24Ww3Gdw",FALSE,0,NA,2016-10-05 16:40:43,FALSE,NA,"783708505756803072",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","EllisInvesGroup",0,FALSE,FALSE,NA,NA
"7","RT @AJENews: Philippines President Duterte shocks the world with his words again, this time with a controversial quip about Obama https://t…",FALSE,0,NA,2016-10-05 16:39:15,FALSE,NA,"783708138503483392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eagle_9000",52,TRUE,FALSE,NA,NA
"8","RT @JMDavido: Funniest part about this story is that Duterte thinks Israel doesn't plant bugs in military devices. https://t.co/J18jvJASYC",FALSE,0,NA,2016-10-05 16:37:58,FALSE,NA,"783707815022096384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndrewvanGeest",5,TRUE,FALSE,NA,NA
"9","RT @cnnphilippines: President Duterte said the Philippines has gained nothing from joint war games with the superpower https://t.co/FLV20yk…",FALSE,0,NA,2016-10-05 16:36:59,FALSE,NA,"783707569340551168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WilsonLeeFlores",8,TRUE,FALSE,NA,NA
"10","RT @TalatHussain12: Philippines' President says he'll 'break up' with US, tells Obama 'go to hell'
https://t.co/gsd2pxdFqn",FALSE,0,NA,2016-10-05 16:36:18,FALSE,NA,"783707397516890112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAbdulHaseeb1",44,TRUE,FALSE,NA,NA
